Type,Value,Voltage,Footprint
C,1nF,50V,"0402"
C,1uF,10V,"0402"
R,4.7kΩ,50V,"0402"
R,2.2Ω,50V,"0402"
C,18pF,50V,"0402"
R,560kΩ,50V,"0402"
C,1uF,10V,"0603"
C,1uF,25V,"0402"
R,22kΩ,50V,"0402"
R,107kΩ,50V,"0402"
C,47nF,25V,"0402"
C,1pF,50V,"0402"
C,10pF,50V,"0402"
